site,taxa,mean_dm_g,pca1,category
Burke,Acari,7.25E-06,-2.444464387,reference
Burke,Aoteapsyche,2.16E-05,-2.444464387,reference
Burke,Austroperla,2.44E-04,-2.444464387,reference
Burke,Austrosimulium,1.18E-04,-2.444464387,reference
Burke,Ceratopogonidae,2.47E-04,-2.444464387,reference
Burke,Chironominae,1.79E-04,-2.444464387,reference
Burke,Coloburiscus,9.75E-04,-2.444464387,reference
Burke,Copepoda,7.19E-06,-2.444464387,reference
Burke,Deleatidium,6.20E-04,-2.444464387,reference
Burke,Diamesinae,3.76E-04,-2.444464387,reference
Burke,Dytiscidae,0.001340658,-2.444464387,reference
Burke,Elmidae,3.94E-04,-2.444464387,reference
Burke,Empididae,1.68E-04,-2.444464387,reference
Burke,Eriopterini,6.98E-04,-2.444464387,reference
Burke,Hydraenidae,0.001628069,-2.444464387,reference
Burke,Hydrobiosella,6.37E-04,-2.444464387,reference
Burke,Hydrobiosis,2.00E-04,-2.444464387,reference
Burke,Oligochaetae,2.89E-05,-2.444464387,reference
Burke,Orthocladiinae,1.91E-04,-2.444464387,reference
Burke,Ostracoda,1.03E-04,-2.444464387,reference
Burke,Oxyethira,1.38E-05,-2.444464387,reference
Burke,Paralimnophila,6.89E-04,-2.444464387,reference
Burke,Potamopyrgus,7.91E-05,-2.444464387,reference
Burke,Psilochorema,4.65E-04,-2.444464387,reference
Burke,Pycnocentrella,1.20E-05,-2.444464387,reference
Burke,Pycnocentria,2.60E-05,-2.444464387,reference
Burke,Scirtidae,8.94E-06,-2.444464387,reference
Burke,Spaniocerca,8.09E-05,-2.444464387,reference
Burke,Zelandobius,5.79E-05,-2.444464387,reference
Burnet Tributary,Acari,2.66E-06,-3.198439108,reference
Burnet Tributary,Aoteapsyche,3.62E-05,-3.198439108,reference
Burnet Tributary,Austrosimulium,1.53E-04,-3.198439108,reference
Burnet Tributary,Ceratopogonidae,2.92E-04,-3.198439108,reference
Burnet Tributary,Chironominae,8.68E-04,-3.198439108,reference
Burnet Tributary,Deleatidium,6.41E-04,-3.198439108,reference
Burnet Tributary,Diamesinae,2.12E-04,-3.198439108,reference
Burnet Tributary,Elmidae,0.001020372,-3.198439108,reference
Burnet Tributary,Empididae,2.43E-04,-3.198439108,reference
Burnet Tributary,Oligochaetae,7.35E-06,-3.198439108,reference
Burnet Tributary,Orthocladiinae,6.72E-04,-3.198439108,reference
