site,pca1,category
Burke,-2.444464387,reference
Burnet_Trib,-3.198439108,reference
Burnett,-3.121002761,reference
Cannel,-0.583653285,impact
Charming,-2.789648014,reference
Chasm,-2.538072774,reference
Coal,3.783120621,heavy_impact
Coalbrookedale,-0.053765109,impact
Coorang,-3.182354786,reference
Granity,1.562505058,impact
Hot,5.802718799,heavy_impact
Italian,-3.479381321,reference
Kiwi,-2.275964317,reference
Lank,-2.20665663,reference
Miller,3.034074094,heavy_impact
Mine_01,3.616192694,heavy_impact
Murray,-2.9331589,reference
OH Creek,-1.739731364,reference
Packtrack,2.937278813,impact
Portal,5.63745021,heavy_impact
Stream_X,0.181370691,impact
Stream_Y,5.239335222,heavy_impact
Sull_East,-3.660312877,reference
Sull_West,2.400240868,impact
Warne,0.012318563,impact
