dL1_in,,,,,,
Plot Title: HOBO_214,,,,,,
#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 10182214, SEN S/N: 10182214)",Coupler Attached (LGR S/N: 10182214),Host Connected (LGR S/N: 10182214),Stopped (LGR S/N: 10182214),End Of File (LGR S/N: 10182214)
1,5/3/2023 0:00,12.497,,,,
2,5/3/2023 1:00,12.304,,,,
3,5/3/2023 2:00,12.013,,,,
4,5/3/2023 3:00,12.11,,,,
5,5/3/2023 4:00,12.11,,,,
6,5/3/2023 5:00,8.481,,,,
7,5/3/2023 6:00,9.669,,,,
8,5/3/2023 7:00,9.176,,,,
9,5/3/2023 8:00,13.75,,,,
10,5/3/2023 9:00,18.521,,,,
11,5/3/2023 10:00,21.187,,,,
12,5/3/2023 11:00,19.567,,,,
13,5/3/2023 12:00,21.282,,,,
14,5/3/2023 13:00,26.488,,,,
15,5/3/2023 14:00,24.835,,,,
16,5/3/2023 15:00,24.835,,,,
17,5/3/2023 16:00,25.222,,,,
18,5/3/2023 17:00,21.664,,,,
19,5/3/2023 18:00,21.664,,,,
20,5/3/2023 19:00,18.996,,,,
21,5/3/2023 20:00,17.094,,,,
22,5/3/2023 21:00,14.804,,,,
23,5/3/2023 22:00,16.141,,,,
24,5/3/2023 23:00,16.618,,,,
25,5/4/2023 0:00,16.713,,,,
26,5/4/2023 1:00,16.046,,,,
27,5/4/2023 2:00,15.282,,,,
28,5/4/2023 3:00,13.846,,,,
29,5/4/2023 4:00,12.304,,,,
30,5/4/2023 5:00,12.11,,,,
31,5/4/2023 6:00,11.819,,,,
32,5/4/2023 7:00,11.722,,,,
33,5/4/2023 8:00,12.401,,,,
34,5/4/2023 9:00,16.046,,,,
35,5/4/2023 10:00,21.569,,,,
36,5/4/2023 11:00,16.618,,,,
37,5/4/2023 12:00,18.901,,,,
38,5/4/2023 13:00,24.738,,,,
39,5/4/2023 14:00,21.951,,,,
40,5/4/2023 15:00,19.758,,,,
41,5/4/2023 16:00,21.855,,,,
42,5/4/2023 17:00,20.71,,,,
43,5/4/2023 18:00,18.901,,,,
44,5/4/2023 19:00,16.713,,,,
45,5/4/2023 20:00,15.187,,,,
46,5/4/2023 21:00,11.916,,,,
47,5/4/2023 22:00,11.528,,,,
48,5/4/2023 23:00,10.846,,,,
49,5/5/2023 0:00,9.768,,,,
50,5/5/2023 1:00,9.571,,,,
51,5/5/2023 2:00,9.866,,,,
52,5/5/2023 3:00,8.68,,,,
53,5/5/2023 4:00,7.882,,,,
54,5/5/2023 5:00,7.381,,,,
55,5/5/2023 6:00,7.582,,,,
56,5/5/2023 7:00,6.674,,,,
57,5/5/2023 8:00,10.944,,,,
58,5/5/2023 9:00,17.189,,,,
59,5/5/2023 10:00,12.69,,,,
60,5/5/2023 11:00,19.567,,,,
61,5/5/2023 12:00,16.332,,,,
62,5/5/2023 13:00,19.758,,,,
63,5/5/2023 14:00,16.427,,,,
64,5/5/2023 15:00,17.189,,,,
65,5/5/2023 16:00,18.616,,,,
66,5/5/2023 17:00,15.378,,,,
67,5/5/2023 18:00,14.134,,,,
68,5/5/2023 19:00,13.558,,,,
69,5/5/2023 20:00,12.11,,,,
70,5/5/2023 21:00,11.334,,,,
71,5/5/2023 22:00,10.651,,,,
72,5/5/2023 23:00,9.176,,,,
73,5/6/2023 0:00,7.079,,,,
74,5/6/2023 1:00,8.481,,,,
75,5/6/2023 2:00,8.282,,,,
76,5/6/2023 3:00,6.573,,,,
77,5/6/2023 4:00,5.244,,,,
78,5/6/2023 5:00,3.893,,,,
79,5/6/2023 6:00,4.207,,,,
80,5/6/2023 7:00,4.311,,,,
81,5/6/2023 8:00,10.161,,,,
82,5/6/2023 9:00,17.475,,,,
83,5/6/2023 10:00,15.282,,,,
84,5/6/2023 11:00,14.804,,,,
85,5/6/2023 12:00,13.846,,,,
86,5/6/2023 13:00,15.76,,,,
87,5/6/2023 14:00,16.427,,,,
88,5/6/2023 15:00,15.855,,,,
89,5/6/2023 16:00,15.855,,,,
90,5/6/2023 17:00,13.942,,,,
91,5/6/2023 18:00,15.378,,,,
92,5/6/2023 19:00,14.421,,,,
93,5/6/2023 20:00,12.207,,,,
94,5/6/2023 21:00,10.553,,,,
95,5/6/2023 22:00,10.357,,,,
96,5/6/2023 23:00,10.944,,,,
97,5/7/2023 0:00,11.041,,,,
98,5/7/2023 1:00,10.553,,,,
99,5/7/2023 2:00,11.041,,,,
100,5/7/2023 3:00,10.553,,,,
101,5/7/2023 4:00,9.472,,,,
102,5/7/2023 5:00,9.472,,,,
103,5/7/2023 6:00,8.382,,,,
104,5/7/2023 7:00,7.079,,,,
105,5/7/2023 8:00,8.182,,,,
106,5/7/2023 9:00,8.182,,,,
107,5/7/2023 10:00,11.431,,,,
108,5/7/2023 11:00,10.357,,,,
109,5/7/2023 12:00,12.304,,,,
110,5/7/2023 13:00,13.942,,,,
111,5/7/2023 14:00,14.038,,,,
112,5/7/2023 15:00,15.569,,,,
113,5/7/2023 16:00,16.618,,,,
114,5/7/2023 17:00,15.76,,,,
115,5/7/2023 18:00,14.804,,,,
116,5/7/2023 19:00,12.304,,,,
117,5/7/2023 20:00,9.768,,,,
118,5/7/2023 21:00,8.481,,,,
119,5/7/2023 22:00,8.282,,,,
120,5/7/2023 23:00,8.182,,,,
121,5/8/2023 0:00,8.779,,,,
122,5/8/2023 1:00,8.182,,,,
123,5/8/2023 2:00,6.268,,,,
124,5/8/2023 3:00,5.962,,,,
125,5/8/2023 4:00,5.86,,,,
126,5/8/2023 5:00,5.037,,,,
127,5/8/2023 6:00,5.141,,,,
128,5/8/2023 7:00,6.877,,,,
129,5/8/2023 8:00,10.161,,,,
130,5/8/2023 9:00,20.71,,,,
131,5/8/2023 10:00,21.855,,,,
132,5/8/2023 11:00,17.57,,,,
133,5/8/2023 12:00,19.472,,,,
134,5/8/2023 13:00,21.378,,,,
135,5/8/2023 14:00,20.901,,,,
136,5/8/2023 15:00,20.329,,,,
137,5/8/2023 16:00,23.581,,,,
138,5/8/2023 17:00,20.805,,,,
139,5/8/2023 18:00,18.616,,,,
140,5/8/2023 19:00,18.331,,,,
141,5/8/2023 20:00,17.284,,,,
142,5/8/2023 21:00,15.473,,,,
143,5/8/2023 22:00,15.473,,,,
144,5/8/2023 23:00,14.325,,,,
145,5/9/2023 0:00,14.517,,,,
146,5/9/2023 1:00,14.134,,,,
147,5/9/2023 2:00,13.269,,,,
148,5/9/2023 3:00,11.236,,,,
149,5/9/2023 4:00,11.625,,,,
150,5/9/2023 5:00,11.139,,,,
151,5/9/2023 6:00,10.846,,,,
152,5/9/2023 7:00,11.819,,,,
153,5/9/2023 8:00,16.141,,,,
154,5/9/2023 9:00,24.351,,,,
155,5/9/2023 10:00,26.39,,,,
156,5/9/2023 11:00,22.717,,,,
157,5/9/2023 12:00,22.717,,,,
158,5/9/2023 13:00,26.195,,,,
159,5/9/2023 14:00,22.908,,,,
160,5/9/2023 15:00,22.429,,,,
161,5/9/2023 16:00,25.708,,,,
162,5/9/2023 17:00,20.615,,,,
163,5/9/2023 18:00,18.14,,,,
164,5/9/2023 19:00,15.473,,,,
165,5/9/2023 20:00,13.365,,,,
166,5/9/2023 21:00,12.98,,,,
167,5/9/2023 22:00,14.325,,,,
168,5/9/2023 23:00,13.942,,,,
169,5/10/2023 0:00,11.625,,,,
170,5/10/2023 1:00,12.497,,,,
171,5/10/2023 2:00,9.373,,,,
172,5/10/2023 3:00,11.916,,,,
173,5/10/2023 4:00,12.304,,,,
174,5/10/2023 5:00,12.787,,,,
175,5/10/2023 6:00,13.654,,,,
176,5/10/2023 7:00,13.269,,,,
177,5/10/2023 8:00,12.883,,,,
178,5/10/2023 9:00,24.448,,,,
179,5/10/2023 10:00,24.738,,,,
180,5/10/2023 11:00,22.812,,,,
181,5/10/2023 12:00,21.76,,,,
182,5/10/2023 13:00,18.711,,,,
183,5/10/2023 14:00,17.189,,,,
184,5/10/2023 15:00,18.045,,,,
185,5/10/2023 16:00,17.379,,,,
186,5/10/2023 17:00,11.916,,,,
187,5/10/2023 18:00,15.091,,,,
188,5/10/2023 19:00,14.038,,,,
189,5/10/2023 20:00,12.594,,,,
190,5/10/2023 21:00,11.431,,,,
191,5/10/2023 22:00,12.497,,,,
192,5/10/2023 23:00,11.431,,,,
193,5/11/2023 0:00,10.553,,,,
194,5/11/2023 1:00,9.768,,,,
195,5/11/2023 2:00,9.768,,,,
196,5/11/2023 3:00,8.68,,,,
197,5/11/2023 4:00,8.879,,,,
198,5/11/2023 5:00,8.481,,,,
199,5/11/2023 6:00,8.879,,,,
200,5/11/2023 7:00,9.472,,,,
201,5/11/2023 8:00,10.357,,,,
202,5/11/2023 9:00,12.594,,,,
203,5/11/2023 10:00,12.304,,,,
204,5/11/2023 11:00,17.95,,,,
205,5/11/2023 12:00,18.616,,,,
206,5/11/2023 13:00,20.901,,,,
207,5/11/2023 14:00,20.043,,,,
208,5/11/2023 15:00,18.806,,,,
209,5/11/2023 16:00,19.758,,,,
210,5/11/2023 17:00,18.521,,,,
211,5/11/2023 18:00,16.903,,,,
212,5/11/2023 19:00,14.325,,,,
213,5/11/2023 20:00,12.304,,,,
214,5/11/2023 21:00,11.236,,,,
215,5/11/2023 22:00,10.161,,,,
216,5/11/2023 23:00,10.651,,,,
217,5/12/2023 0:00,8.879,,,,
218,5/12/2023 1:00,8.978,,,,
219,5/12/2023 2:00,8.779,,,,
220,5/12/2023 3:00,7.782,,,,
221,5/12/2023 4:00,7.079,,,,
222,5/12/2023 5:00,7.079,,,,
223,5/12/2023 6:00,6.877,,,,
224,5/12/2023 7:00,7.682,,,,
225,5/12/2023 8:00,12.69,,,,
226,5/12/2023 9:00,20.901,,,,
227,5/12/2023 10:00,20.805,,,,
228,5/12/2023 11:00,20.138,,,,
229,5/12/2023 12:00,20.138,,,,
230,5/12/2023 13:00,23.388,,,,
231,5/12/2023 14:00,21.855,,,,
232,5/12/2023 15:00,21.664,,,,
233,5/12/2023 16:00,24.448,,,,
234,5/12/2023 17:00,22.333,,,,
235,5/12/2023 18:00,17.855,,,,
236,5/12/2023 19:00,14.709,,,,
237,5/12/2023 20:00,12.594,,,,
238,5/12/2023 21:00,11.528,,,,
239,5/12/2023 22:00,10.553,,,,
240,5/12/2023 23:00,9.669,,,,
241,5/13/2023 0:00,9.077,,,,
242,5/13/2023 1:00,8.581,,,,
243,5/13/2023 2:00,8.481,,,,
244,5/13/2023 3:00,7.682,,,,
245,5/13/2023 4:00,8.68,,,,
246,5/13/2023 5:00,8.978,,,,
247,5/13/2023 6:00,7.381,,,,
248,5/13/2023 7:00,8.68,,,,
249,5/13/2023 8:00,14.134,,,,
250,5/13/2023 9:00,20.329,,,,
251,5/13/2023 10:00,20.996,,,,
252,5/13/2023 11:00,16.999,,,,
253,5/13/2023 12:00,20.329,,,,
