order,family,Genus,species,mass.g.,gestation.mo.,newborn.g.,weaning.mo.,wean,refs
Artiodactyla,Antilocapridae,Antilocapra,americana,45375,8.13,3246.36,3,8900,
Artiodactyla,Bovidae,Addax,nasomaculatus,182375,9.39,5480,6.5,-999,
Artiodactyla,Bovidae,Aepyceros,melampus,41480,6.35,5093,5.63,15900,
Artiodactyla,Bovidae,Alcelaphus,buselaphus,150000,7.9,10166.67,6.5,-999,
Artiodactyla,Bovidae,Ammodorcas,clarkei,28500,6.8,-999,-999,-999,
Artiodactyla,Bovidae,Ammotragus,lervia,55500,5.08,3810,4,-999,
Artiodactyla,Bovidae,Antidorcas,marsupialis,30000,5.72,3910,4.04,-999,
Artiodactyla,Bovidae,Antilope,cervicapra,37500,5.5,3846,2.13,-999,
Artiodactyla,Bovidae,Bison,bison,497666.67,8.93,20000,10.71,157500,
Artiodactyla,Bovidae,Bison,bonasus,500000,9.14,23000.08,6.6,-999,
Artiodactyla,Bovidae,Bos,grunniens,333000,8.88,18000,7.33,-999,
Artiodactyla,Bovidae,Bos,frontalis,800000,9.02,23033.33,4.5,-999,
Artiodactyla,Bovidae,Bos,javanicus,666666.67,9.83,-999,9.5,-999,
Artiodactyla,Bovidae,Boselaphus,tragocamelus,169000,8.51,5875,-999,-999,
Artiodactyla,Bovidae,Bubalus,depressicornis,-999,10,-999,-999,-999,
Artiodactyla,Bovidae,Bubalus,mindorensis,233333.33,9.85,-999,-999,-999,
Artiodactyla,Bovidae,Bubalus,bubalis,950000,10.47,37500,7.5,-999,
Artiodactyla,Bovidae,Budorcas,taxicolor,302000,8.29,6000,-999,-999,
Artiodactyla,Bovidae,Capra,caucasica,55000,5.17,3850,-999,-999,
Artiodactyla,Bovidae,Capra,falconeri,41000,5.36,-999,5.5,-999,
Artiodactyla,Bovidae,Capra,ibex,71500,5.6,2791.43,7.5,-999,
Artiodactyla,Bovidae,Capra,cylindricornis,50000,5.29,3787.5,6,-999,
Artiodactyla,Bovidae,Capra,hircus,60000,5.22,2200,5,-999,
Artiodactyla,Bovidae,Cephalophus,niger,18100,4.2,-999,-999,-999,
Artiodactyla,Bovidae,Cephalophus,nigrifrons,13900,-999,-999,-999,-999,
Artiodactyla,Bovidae,Cephalophus,natalensis,10000,-999,-999,-999,-999,
Artiodactyla,Bovidae,Cephalophus,leucogaster,12700,-999,-999,-999,-999,
Artiodactyla,Bovidae,Cephalophus,ogilbyi,20000,4,-999,-999,-999,
Artiodactyla,Bovidae,Cephalophus,zebra,-999,7.47,1707.5,-999,-999,
Artiodactyla,Bovidae,Cephalophus,rufilatus,12500,7.82,965,-999,-999,
Artiodactyla,Bovidae,Cephalophus,dorsalis,11600,7.75,1610,-999,-999,
Artiodactyla,Bovidae,Cephalophus,monticola,6250,6.43,800,-999,-999,
Artiodactyla,Bovidae,Cephalophus,silvicultor,62500,5.43,2400,1.25,20512.5,
Artiodactyla,Bovidae,Cephalophus,maxwellii,9000,4,832,2,-999,
Artiodactyla,Bovidae,Connochaetes,gnou,132250,8.5,11000,7.5,-999,
Artiodactyla,Bovidae,Connochaetes,taurinus,164500,8.32,17716.67,8,-999,
Artiodactyla,Bovidae,Damaliscus,hunteri,159000,9.3,8350,-999,-999,
Artiodactyla,Bovidae,Damaliscus,pygargus,84500,8.2,6792,5,-999,
Artiodactyla,Bovidae,Damaliscus,lunatus,128000,7.81,11100,-999,-999,
Artiodactyla,Bovidae,Gazella,soemmerringii,40000,6.5,-999,-999,-999,
Artiodactyla,Bovidae,Gazella,rufifrons,27000,5.75,-999,-999,-999,
Artiodactyla,Bovidae,Gazella,dama,73000,6.84,-999,-999,-999,
Artiodactyla,Bovidae,Gazella,leptoceros,23600,5.42,4640,-999,-999,
Artiodactyla,Bovidae,Gazella,granti,47636.36,6.45,5602.5,-999,-999,
Artiodactyla,Bovidae,Gazella,spekei,20000,6.48,1253.33,-999,-999,
Artiodactyla,Bovidae,Gazella,cuvieri,17500,5.61,-999,-999,-999,
Artiodactyla,Bovidae,Gazella,dorcas,16985,4.74,1500.63,2.75,7000,
Artiodactyla,Bovidae,Gazella,subgutturosa,25500,5.37,2426.67,3.5,13500,
Artiodactyla,Bovidae,Gazella,thomsonii,16300,5.37,2553.75,3.35,-999,
Artiodactyla,Bovidae,Gazella,gazella,20750,6,-999,3,-999,
Artiodactyla,Bovidae,Hemitragus,hylocrius,-999,6.17,-999,5,-999,
Artiodactyla,Bovidae,Hemitragus,jemlahicus,35200,6,2000,4.97,-999,
Artiodactyla,Bovidae,Hippotragus,equinus,242000,9.32,15166.67,6,-999,
Artiodactyla,Bovidae,Hippotragus,niger,200500,8.87,15447.14,7,-999,
Artiodactyla,Bovidae,Kobus,megaceros,17500,-999,-999,-999,-999,
Artiodactyla,Bovidae,Kobus,vardonii,63950,8.5,-999,-999,-999,
Artiodactyla,Bovidae,Kobus,leche,81733.33,7.57,5100,4.5,-999,
Artiodactyla,Bovidae,Kobus,ellipsiprymnus,175333.33,8.91,9000,7.39,-999,
Artiodactyla,Bovidae,Kobus,kob,58600,8.38,4937.5,6.39,31600,
Artiodactyla,Bovidae,Litocranius,walleri,41333.33,6.76,-999,-999,-999,
Artiodactyla,Bovidae,Madoqua,saltiana,3250,-999,690,1.5,-999,
Artiodactyla,Bovidae,Madoqua,guentheri,4550,5.84,681.67,2.75,2825.5,
Artiodactyla,Bovidae,Madoqua,kirkii,4876.67,5.77,654,2.35,1780,
Artiodactyla,Bovidae,Naemorhedus,crispus,30000,7.15,3510.5,-999,-999,
Artiodactyla,Bovidae,Naemorhedus,sumatraensis,87500,7.5,-999,-999,-999,
Artiodactyla,Bovidae,Naemorhedus,goral,27666.67,7.69,2000,-999,-999,
Artiodactyla,Bovidae,Neotragus,batesi,2500,6,500,-999,-999,
Artiodactyla,Bovidae,Neotragus,moschatus,7166.67,6,-999,-999,-999,
Artiodactyla,Bovidae,Oreamnos,americanus,82350,5.78,3176.67,2.67,-999,
Artiodactyla,Bovidae,Oreotragus,oreotragus,13000,6.79,1065,4.5,-999,
Artiodactyla,Bovidae,Oryx,dammah,177500,8.22,10316.67,-999,-999,
Artiodactyla,Bovidae,Oryx,leucoryx,121350,8,-999,4.5,-999,
Artiodactyla,Bovidae,Oryx,gazella,195000,9.01,12015,-999,-999,
Artiodactyla,Bovidae,Ourebia,ourebi,17500,6.95,2235,4.5,-999,
Artiodactyla,Bovidae,Ovibos,moschatus,258000,8.48,11077.4,6.21,-999,
Artiodactyla,Bovidae,Ovis,nivicola,50500,-999,-999,-999,-999,
Artiodactyla,Bovidae,Ovis,vignei,60000,6,-999,-999,-999,
Artiodactyla,Bovidae,Ovis,dalli,57666.67,5.62,3500,4.33,-999,
Artiodactyla,Bovidae,Ovis,canadensis,68166.67,5.99,4266.67,4.86,28666.67,
Artiodactyla,Bovidae,Ovis,ammon,180000,5.61,2375,4.5,-999,
Artiodactyla,Bovidae,Ovis,aries,50000,5.02,2277.08,6,17500,
Artiodactyla,Bovidae,Pantholops,hodgsonii,27500,7,-999,-999,-999,
Artiodactyla,Bovidae,Pelea,capreolus,25000,8.7,-999,-999,-999,
Artiodactyla,Bovidae,Procapra,gutturosa,24000,6.43,2900,-999,-999,
Artiodactyla,Bovidae,Pseudois,nayaur,46666.67,5.16,-999,6,-999,
Artiodactyla,Bovidae,Raphicerus,campestris,11333.33,6.53,936,3,-999,
Artiodactyla,Bovidae,Redunca,arundinum,48850,7.32,4500,-999,-999,
Artiodactyla,Bovidae,Redunca,redunca,40000,7.5,-999,-999,-999,
Artiodactyla,Bovidae,Redunca,fulvorufula,30000,7.57,2600,-999,-999,
Artiodactyla,Bovidae,Rupicapra,rupicapra,26100,5.83,2652.86,3.7,-999,
Artiodactyla,Bovidae,Saiga,tatarica,38250,4.94,3365.33,2.92,14500,
Artiodactyla,Bovidae,Sigmoceros,lichtensteinii,153000,7.76,15000,-999,-999,
Artiodactyla,Bovidae,Sylvicapra,grimmia,19000,5.08,1202.86,-999,-999,
Artiodactyla,Bovidae,Syncerus,caffer,504666.67,11.03,42862.5,9.18,166000,
Artiodactyla,Bovidae,Taurotragus,derbianus,680000,8.67,-999,-999,-999,
Artiodactyla,Bovidae,Taurotragus,oryx,432500,8.64,28325,6,-999,
Artiodactyla,Bovidae,Tetracerus,quadricornis,19000,7.34,1033,-999,-999,
Artiodactyla,Bovidae,Tragelaphus,buxtoni,218000,-999,-999,-999,-999,
Artiodactyla,Bovidae,Tragelaphus,eurycerus,186250,9.57,19240,-999,-999,
