logger_serial_number,site,time_frame,file_name
1900,dl01_Ponderosa,part_2,0001900_part_2.csv
1900,dl01_Ponderosa,part_4,0001900_part_4.csv
47795,dl02_Ponderosa,part_2,0047795_part_2.csv
47795,dl02_Ponderosa,part_3,0047795_part_3.csv
47795,dl02_Ponderosa,part_4,0047795_part_4.csv
63597,dl03_Ponderosa,part_2,0063597_part_2.csv
65888,dl04_Ponderosa,part_2,0065888_part_2.csv
65888,dl04_Ponderosa,part_3,0065888_part_3.csv
65888,dl04_Ponderosa,part_4,0065888_part_4.csv
67595,dl05_Ponderosa,part_2,0067595_part_2.csv
67595,dl05_Ponderosa,part_3,0067595_part_3.csv
67595,dl05_Ponderosa,part_4,0067595_part_4.csv
71456,dl11_Valley,part_2,0071456_part_2.csv
71456,dl11_Valley,part_3,0071456_part_3.csv
71456,dl11_Valley,part_4,0071456_part_4.csv
79816,dl12_Valley,part_2,0079816_part_2.csv
79816,dl12_Valley,part_3,0079816_part_3.csv
79816,dl12_Valley,part_4,0079816_part_4.csv
87191,dl13_Valley,part_2,0087191_part_2.csv
87191,dl13_Valley,part_3,0087191_part_3.csv
87191,dl13_Valley,part_4,0087191_part_4.csv
92124,dl14_Valley,part_2,0092124_part_2.csv
92124,dl14_Valley,part_3,0092124_part_3.csv
92124,dl14_Valley,part_4,0092124_part_4.csv
95369,dl15_Valley,part_2,0095369_part_2.csv
