dL1_in
Plot Title: HOBO_214,,,,,,
#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 10182214, SEN S/N: 10182214)",Coupler Attached (LGR S/N: 10182214),Host Connected (LGR S/N: 10182214),Stopped (LGR S/N: 10182214),End Of File (LGR S/N: 10182214)
1,05/03/23 12:00:00 AM,12.497,,,,
2,05/03/23 01:00:00 AM,12.304,,,,
3,05/03/23 02:00:00 AM,12.013,,,,
4,05/03/23 03:00:00 AM,12.110,,,,
5,05/03/23 04:00:00 AM,12.110,,,,
6,05/03/23 05:00:00 AM,8.481,,,,
7,05/03/23 06:00:00 AM,9.669,,,,
8,05/03/23 07:00:00 AM,9.176,,,,
9,05/03/23 08:00:00 AM,13.750,,,,
10,05/03/23 09:00:00 AM,18.521,,,,
11,05/03/23 10:00:00 AM,21.187,,,,
12,05/03/23 11:00:00 AM,19.567,,,,
13,05/03/23 12:00:00 PM,21.282,,,,
14,05/03/23 01:00:00 PM,26.488,,,,
15,05/03/23 02:00:00 PM,24.835,,,,
16,05/03/23 03:00:00 PM,24.835,,,,
17,05/03/23 04:00:00 PM,25.222,,,,
18,05/03/23 05:00:00 PM,21.664,,,,
19,05/03/23 06:00:00 PM,21.664,,,,
20,05/03/23 07:00:00 PM,18.996,,,,
21,05/03/23 08:00:00 PM,17.094,,,,
22,05/03/23 09:00:00 PM,14.804,,,,
23,05/03/23 10:00:00 PM,16.141,,,,
24,05/03/23 11:00:00 PM,16.618,,,,
25,05/04/23 12:00:00 AM,16.713,,,,
26,05/04/23 01:00:00 AM,16.046,,,,
27,05/04/23 02:00:00 AM,15.282,,,,
28,05/04/23 03:00:00 AM,13.846,,,,
29,05/04/23 04:00:00 AM,12.304,,,,
30,05/04/23 05:00:00 AM,12.110,,,,
31,05/04/23 06:00:00 AM,11.819,,,,
32,05/04/23 07:00:00 AM,11.722,,,,
33,05/04/23 08:00:00 AM,12.401,,,,
34,05/04/23 09:00:00 AM,16.046,,,,
35,05/04/23 10:00:00 AM,21.569,,,,
36,05/04/23 11:00:00 AM,16.618,,,,
37,05/04/23 12:00:00 PM,18.901,,,,
38,05/04/23 01:00:00 PM,24.738,,,,
39,05/04/23 02:00:00 PM,21.951,,,,
40,05/04/23 03:00:00 PM,19.758,,,,
41,05/04/23 04:00:00 PM,21.855,,,,
42,05/04/23 05:00:00 PM,20.710,,,,
43,05/04/23 06:00:00 PM,18.901,,,,
44,05/04/23 07:00:00 PM,16.713,,,,
45,05/04/23 08:00:00 PM,15.187,,,,
46,05/04/23 09:00:00 PM,11.916,,,,
47,05/04/23 10:00:00 PM,11.528,,,,
48,05/04/23 11:00:00 PM,10.846,,,,
49,05/05/23 12:00:00 AM,9.768,,,,
50,05/05/23 01:00:00 AM,9.571,,,,
51,05/05/23 02:00:00 AM,9.866,,,,
52,05/05/23 03:00:00 AM,8.680,,,,
53,05/05/23 04:00:00 AM,7.882,,,,
54,05/05/23 05:00:00 AM,7.381,,,,
55,05/05/23 06:00:00 AM,7.582,,,,
56,05/05/23 07:00:00 AM,6.674,,,,
57,05/05/23 08:00:00 AM,10.944,,,,
58,05/05/23 09:00:00 AM,17.189,,,,
59,05/05/23 10:00:00 AM,12.690,,,,
60,05/05/23 11:00:00 AM,19.567,,,,
61,05/05/23 12:00:00 PM,16.332,,,,
62,05/05/23 01:00:00 PM,19.758,,,,
63,05/05/23 02:00:00 PM,16.427,,,,
64,05/05/23 03:00:00 PM,17.189,,,,
65,05/05/23 04:00:00 PM,18.616,,,,
66,05/05/23 05:00:00 PM,15.378,,,,
67,05/05/23 06:00:00 PM,14.134,,,,
68,05/05/23 07:00:00 PM,13.558,,,,
69,05/05/23 08:00:00 PM,12.110,,,,
70,05/05/23 09:00:00 PM,11.334,,,,
71,05/05/23 10:00:00 PM,10.651,,,,
72,05/05/23 11:00:00 PM,9.176,,,,
73,05/06/23 12:00:00 AM,7.079,,,,
74,05/06/23 01:00:00 AM,8.481,,,,
75,05/06/23 02:00:00 AM,8.282,,,,
76,05/06/23 03:00:00 AM,6.573,,,,
77,05/06/23 04:00:00 AM,5.244,,,,
78,05/06/23 05:00:00 AM,3.893,,,,
79,05/06/23 06:00:00 AM,4.207,,,,
80,05/06/23 07:00:00 AM,4.311,,,,
81,05/06/23 08:00:00 AM,10.161,,,,
82,05/06/23 09:00:00 AM,17.475,,,,
83,05/06/23 10:00:00 AM,15.282,,,,
84,05/06/23 11:00:00 AM,14.804,,,,
85,05/06/23 12:00:00 PM,13.846,,,,
86,05/06/23 01:00:00 PM,15.760,,,,
87,05/06/23 02:00:00 PM,16.427,,,,
88,05/06/23 03:00:00 PM,15.855,,,,
89,05/06/23 04:00:00 PM,15.855,,,,
90,05/06/23 05:00:00 PM,13.942,,,,
91,05/06/23 06:00:00 PM,15.378,,,,
92,05/06/23 07:00:00 PM,14.421,,,,
93,05/06/23 08:00:00 PM,12.207,,,,
94,05/06/23 09:00:00 PM,10.553,,,,
95,05/06/23 10:00:00 PM,10.357,,,,
96,05/06/23 11:00:00 PM,10.944,,,,
97,05/07/23 12:00:00 AM,11.041,,,,
98,05/07/23 01:00:00 AM,10.553,,,,
99,05/07/23 02:00:00 AM,11.041,,,,
100,05/07/23 03:00:00 AM,10.553,,,,
101,05/07/23 04:00:00 AM,9.472,,,,
102,05/07/23 05:00:00 AM,9.472,,,,
103,05/07/23 06:00:00 AM,8.382,,,,
104,05/07/23 07:00:00 AM,7.079,,,,
105,05/07/23 08:00:00 AM,8.182,,,,
106,05/07/23 09:00:00 AM,8.182,,,,
107,05/07/23 10:00:00 AM,11.431,,,,
108,05/07/23 11:00:00 AM,10.357,,,,
109,05/07/23 12:00:00 PM,12.304,,,,
110,05/07/23 01:00:00 PM,13.942,,,,
111,05/07/23 02:00:00 PM,14.038,,,,
112,05/07/23 03:00:00 PM,15.569,,,,
113,05/07/23 04:00:00 PM,16.618,,,,
114,05/07/23 05:00:00 PM,15.760,,,,
115,05/07/23 06:00:00 PM,14.804,,,,
116,05/07/23 07:00:00 PM,12.304,,,,
117,05/07/23 08:00:00 PM,9.768,,,,
118,05/07/23 09:00:00 PM,8.481,,,,
119,05/07/23 10:00:00 PM,8.282,,,,
120,05/07/23 11:00:00 PM,8.182,,,,
121,05/08/23 12:00:00 AM,8.779,,,,
122,05/08/23 01:00:00 AM,8.182,,,,
123,05/08/23 02:00:00 AM,6.268,,,,
124,05/08/23 03:00:00 AM,5.962,,,,
125,05/08/23 04:00:00 AM,5.860,,,,
126,05/08/23 05:00:00 AM,5.037,,,,
127,05/08/23 06:00:00 AM,5.141,,,,
128,05/08/23 07:00:00 AM,6.877,,,,
129,05/08/23 08:00:00 AM,10.161,,,,
130,05/08/23 09:00:00 AM,20.710,,,,
131,05/08/23 10:00:00 AM,21.855,,,,
132,05/08/23 11:00:00 AM,17.570,,,,
133,05/08/23 12:00:00 PM,19.472,,,,
134,05/08/23 01:00:00 PM,21.378,,,,
135,05/08/23 02:00:00 PM,20.901,,,,
136,05/08/23 03:00:00 PM,20.329,,,,
137,05/08/23 04:00:00 PM,23.581,,,,
138,05/08/23 05:00:00 PM,20.805,,,,
139,05/08/23 06:00:00 PM,18.616,,,,
140,05/08/23 07:00:00 PM,18.331,,,,
141,05/08/23 08:00:00 PM,17.284,,,,
142,05/08/23 09:00:00 PM,15.473,,,,
143,05/08/23 10:00:00 PM,15.473,,,,
144,05/08/23 11:00:00 PM,14.325,,,,
145,05/09/23 12:00:00 AM,14.517,,,,
146,05/09/23 01:00:00 AM,14.134,,,,
147,05/09/23 02:00:00 AM,13.269,,,,
148,05/09/23 03:00:00 AM,11.236,,,,
149,05/09/23 04:00:00 AM,11.625,,,,
150,05/09/23 05:00:00 AM,11.139,,,,
151,05/09/23 06:00:00 AM,10.846,,,,
152,05/09/23 07:00:00 AM,11.819,,,,
153,05/09/23 08:00:00 AM,16.141,,,,
154,05/09/23 09:00:00 AM,24.351,,,,
155,05/09/23 10:00:00 AM,26.390,,,,
156,05/09/23 11:00:00 AM,22.717,,,,
157,05/09/23 12:00:00 PM,22.717,,,,
158,05/09/23 01:00:00 PM,26.195,,,,
159,05/09/23 02:00:00 PM,22.908,,,,
160,05/09/23 03:00:00 PM,22.429,,,,
161,05/09/23 04:00:00 PM,25.708,,,,
162,05/09/23 05:00:00 PM,20.615,,,,
163,05/09/23 06:00:00 PM,18.140,,,,
164,05/09/23 07:00:00 PM,15.473,,,,
165,05/09/23 08:00:00 PM,13.365,,,,
166,05/09/23 09:00:00 PM,12.980,,,,
167,05/09/23 10:00:00 PM,14.325,,,,
168,05/09/23 11:00:00 PM,13.942,,,,
169,05/10/23 12:00:00 AM,11.625,,,,
170,05/10/23 01:00:00 AM,12.497,,,,
171,05/10/23 02:00:00 AM,9.373,,,,
172,05/10/23 03:00:00 AM,11.916,,,,
173,05/10/23 04:00:00 AM,12.304,,,,
174,05/10/23 05:00:00 AM,12.787,,,,
175,05/10/23 06:00:00 AM,13.654,,,,
176,05/10/23 07:00:00 AM,13.269,,,,
177,05/10/23 08:00:00 AM,12.883,,,,
178,05/10/23 09:00:00 AM,24.448,,,,
179,05/10/23 10:00:00 AM,24.738,,,,
180,05/10/23 11:00:00 AM,22.812,,,,
181,05/10/23 12:00:00 PM,21.760,,,,
182,05/10/23 01:00:00 PM,18.711,,,,
183,05/10/23 02:00:00 PM,17.189,,,,
184,05/10/23 03:00:00 PM,18.045,,,,
185,05/10/23 04:00:00 PM,17.379,,,,
186,05/10/23 05:00:00 PM,11.916,,,,
187,05/10/23 06:00:00 PM,15.091,,,,
188,05/10/23 07:00:00 PM,14.038,,,,
