Plot Title: HOBO_343,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 21162343, SEN S/N: 21162343)",End Of File (LGR S/N: 21162343)
29,03/09/24 04:00:00 PM,7.280,
30,03/09/24 05:00:00 PM,5.244,
31,03/09/24 06:00:00 PM,2.624,
32,03/09/24 07:00:00 PM,1.548,
33,03/09/24 08:00:00 PM,0.232,
34,03/09/24 09:00:00 PM,0.121,
35,03/09/24 10:00:00 PM,1.221,
36,03/09/24 11:00:00 PM,-0.325,
37,03/10/24 12:00:00 AM,0.784,
38,03/10/24 01:00:00 AM,-1.570,
39,03/10/24 02:00:00 AM,-1.799,
40,03/10/24 03:00:00 AM,-1.799,
41,03/10/24 04:00:00 AM,-0.325,
42,03/10/24 05:00:00 AM,-0.887,
43,03/10/24 06:00:00 AM,0.232,
44,03/10/24 07:00:00 AM,0.784,
45,03/10/24 08:00:00 AM,3.998,
46,03/10/24 09:00:00 AM,7.280,
47,03/10/24 10:00:00 AM,7.682,
48,03/10/24 11:00:00 AM,11.334,
49,03/10/24 12:00:00 PM,21.569,
50,03/10/24 01:00:00 PM,19.662,
51,03/10/24 02:00:00 PM,13.942,
52,03/10/24 03:00:00 PM,12.401,
53,03/10/24 04:00:00 PM,10.063,
54,03/10/24 05:00:00 PM,8.182,
55,03/10/24 06:00:00 PM,4.934,
56,03/10/24 07:00:00 PM,3.261,
57,03/10/24 08:00:00 PM,2.837,
58,03/10/24 09:00:00 PM,2.195,
59,03/10/24 10:00:00 PM,1.439,
60,03/10/24 11:00:00 PM,1.872,
61,03/11/24 12:00:00 AM,2.943,
62,03/11/24 01:00:00 AM,2.624,
63,03/11/24 02:00:00 AM,2.088,
64,03/11/24 03:00:00 AM,1.548,
65,03/11/24 04:00:00 AM,1.330,
66,03/11/24 05:00:00 AM,4.727,
67,03/11/24 06:00:00 AM,4.623,
68,03/11/24 07:00:00 AM,5.450,
69,03/11/24 08:00:00 AM,6.471,
70,03/11/24 09:00:00 AM,8.182,
71,03/11/24 10:00:00 AM,10.161,
72,03/11/24 11:00:00 AM,13.654,
73,03/11/24 12:00:00 PM,11.528,
74,03/11/24 01:00:00 PM,16.046,
75,03/11/24 02:00:00 PM,14.996,
76,03/11/24 03:00:00 PM,12.690,
77,03/11/24 04:00:00 PM,11.625,
78,03/11/24 05:00:00 PM,10.161,
79,03/11/24 06:00:00 PM,6.877,
80,03/11/24 07:00:00 PM,6.166,
81,03/11/24 08:00:00 PM,6.166,
82,03/11/24 09:00:00 PM,5.450,
83,03/11/24 10:00:00 PM,5.757,
84,03/11/24 11:00:00 PM,5.757,
85,03/12/24 12:00:00 AM,4.311,
86,03/12/24 01:00:00 AM,3.788,
87,03/12/24 02:00:00 AM,3.893,
88,03/12/24 03:00:00 AM,4.623,
89,03/12/24 04:00:00 AM,4.311,
90,03/12/24 05:00:00 AM,4.623,
91,03/12/24 06:00:00 AM,3.998,
92,03/12/24 07:00:00 AM,3.893,
93,03/12/24 08:00:00 AM,7.079,
94,03/12/24 09:00:00 AM,7.381,
95,03/12/24 10:00:00 AM,10.846,
96,03/12/24 11:00:00 AM,12.787,
97,03/12/24 12:00:00 PM,18.426,
98,03/12/24 01:00:00 PM,14.230,
99,03/12/24 02:00:00 PM,11.431,
100,03/12/24 03:00:00 PM,10.944,
101,03/12/24 04:00:00 PM,9.275,
102,03/12/24 05:00:00 PM,7.481,
103,03/12/24 06:00:00 PM,5.757,
104,03/12/24 07:00:00 PM,5.037,
105,03/12/24 08:00:00 PM,4.831,
106,03/12/24 09:00:00 PM,3.893,
107,03/12/24 10:00:00 PM,3.998,
108,03/12/24 11:00:00 PM,4.311,
109,03/13/24 12:00:00 AM,3.998,
110,03/13/24 01:00:00 AM,2.943,
111,03/13/24 02:00:00 AM,2.303,
112,03/13/24 03:00:00 AM,3.155,
113,03/13/24 04:00:00 AM,3.261,
114,03/13/24 05:00:00 AM,3.049,
115,03/13/24 06:00:00 AM,1.764,
116,03/13/24 07:00:00 AM,1.003,
117,03/13/24 08:00:00 AM,1.872,
118,03/13/24 09:00:00 AM,1.656,
119,03/13/24 10:00:00 AM,1.980,
120,03/13/24 11:00:00 AM,1.980,
121,03/13/24 12:00:00 PM,1.656,
122,03/13/24 01:00:00 PM,1.439,
123,03/13/24 02:00:00 PM,1.980,
124,03/13/24 03:00:00 PM,1.980,
125,03/13/24 04:00:00 PM,2.195,
126,03/13/24 05:00:00 PM,2.195,
127,03/13/24 06:00:00 PM,0.674,
128,03/13/24 07:00:00 PM,-0.887,
129,03/13/24 08:00:00 PM,-0.887,
130,03/13/24 09:00:00 PM,-0.774,
131,03/13/24 10:00:00 PM,-1.456,
132,03/13/24 11:00:00 PM,-1.456,
133,03/14/24 12:00:00 AM,-2.261,
134,03/14/24 01:00:00 AM,-1.799,
135,03/14/24 02:00:00 AM,-1.456,
136,03/14/24 03:00:00 AM,-1.114,
137,03/14/24 04:00:00 AM,-1.001,
138,03/14/24 05:00:00 AM,-1.001,
139,03/14/24 06:00:00 AM,-1.114,
140,03/14/24 07:00:00 AM,-1.228,
141,03/14/24 08:00:00 AM,-0.774,
142,03/14/24 09:00:00 AM,0.563,
143,03/14/24 10:00:00 AM,0.121,
144,03/14/24 11:00:00 AM,1.548,
145,03/14/24 12:00:00 PM,6.370,
146,03/14/24 01:00:00 PM,4.623,
147,03/14/24 02:00:00 PM,7.179,
148,03/14/24 03:00:00 PM,7.280,
149,03/14/24 04:00:00 PM,6.268,
150,03/14/24 05:00:00 PM,2.517,
151,03/14/24 06:00:00 PM,1.439,
152,03/14/24 07:00:00 PM,1.439,
153,03/14/24 08:00:00 PM,1.221,
154,03/14/24 09:00:00 PM,0.010,
155,03/14/24 10:00:00 PM,-0.549,
156,03/14/24 11:00:00 PM,-0.325,
157,03/15/24 12:00:00 AM,-0.213,
158,03/15/24 01:00:00 AM,0.121,
159,03/15/24 02:00:00 AM,0.121,
160,03/15/24 03:00:00 AM,0.453,
161,03/15/24 04:00:00 AM,0.563,
162,03/15/24 05:00:00 AM,-0.325,
163,03/15/24 06:00:00 AM,-0.325,
164,03/15/24 07:00:00 AM,-0.102,
165,03/15/24 08:00:00 AM,0.343,
166,03/15/24 09:00:00 AM,0.453,
167,03/15/24 10:00:00 AM,2.195,
168,03/15/24 11:00:00 AM,5.347,
169,03/15/24 12:00:00 PM,6.166,
170,03/15/24 01:00:00 PM,5.757,
171,03/15/24 02:00:00 PM,9.176,
172,03/15/24 03:00:00 PM,7.079,
173,03/15/24 04:00:00 PM,6.573,
174,03/15/24 05:00:00 PM,5.347,
175,03/15/24 06:00:00 PM,4.727,
176,03/15/24 07:00:00 PM,2.837,
177,03/15/24 08:00:00 PM,2.943,
178,03/15/24 09:00:00 PM,2.517,
179,03/15/24 10:00:00 PM,1.764,
180,03/15/24 11:00:00 PM,0.784,
