Plot Title: HOBO_2350,,,,,
#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 21162350, SEN S/N: 21162350)",Coupler Attached (LGR S/N: 21162350),Stopped (LGR S/N: 21162350),End Of File (LGR S/N: 21162350)
146,09/22/23 10:00:00 AM,17.855,,,
147,09/22/23 11:00:00 AM,19.092,,,
148,09/22/23 12:00:00 PM,21.569,,,
149,09/22/23 01:00:00 PM,32.188,,,
150,09/22/23 02:00:00 PM,30.659,,,
151,09/22/23 03:00:00 PM,33.222,,,
152,09/22/23 04:00:00 PM,33.014,,,
153,09/22/23 05:00:00 PM,28.456,,,
154,09/22/23 06:00:00 PM,22.621,,,
155,09/22/23 07:00:00 PM,20.329,,,
156,09/22/23 08:00:00 PM,17.570,,,
157,09/22/23 09:00:00 PM,16.618,,,
158,09/22/23 10:00:00 PM,16.523,,,
159,09/22/23 11:00:00 PM,14.900,,,
160,09/23/23 12:00:00 AM,13.173,,,
161,09/23/23 01:00:00 AM,12.594,,,
162,09/23/23 02:00:00 AM,12.401,,,
163,09/23/23 03:00:00 AM,11.625,,,
164,09/23/23 04:00:00 AM,10.846,,,
165,09/23/23 05:00:00 AM,8.680,,,
166,09/23/23 06:00:00 AM,7.682,,,
167,09/23/23 07:00:00 AM,9.275,,,
168,09/23/23 08:00:00 AM,10.259,,,
169,09/23/23 09:00:00 AM,11.236,,,
170,09/23/23 10:00:00 AM,12.594,,,
171,09/23/23 11:00:00 AM,15.187,,,
172,09/23/23 12:00:00 PM,20.424,,,
173,09/23/23 01:00:00 PM,35.009,,,
174,09/23/23 02:00:00 PM,32.704,,,
175,09/23/23 03:00:00 PM,34.691,,,
176,09/23/23 04:00:00 PM,23.100,,,
177,09/23/23 05:00:00 PM,23.966,,,
178,09/23/23 06:00:00 PM,20.901,,,
179,09/23/23 07:00:00 PM,14.613,,,
180,09/23/23 08:00:00 PM,13.365,,,
181,09/23/23 09:00:00 PM,15.187,,,
182,09/23/23 10:00:00 PM,14.230,,,
183,09/23/23 11:00:00 PM,12.304,,,
184,09/24/23 12:00:00 AM,14.038,,,
185,09/24/23 01:00:00 AM,13.076,,,
186,09/24/23 02:00:00 AM,12.401,,,
187,09/24/23 03:00:00 AM,13.173,,,
188,09/24/23 04:00:00 AM,8.978,,,
189,09/24/23 05:00:00 AM,7.582,,,
190,09/24/23 06:00:00 AM,6.268,,,
191,09/24/23 07:00:00 AM,6.573,,,
192,09/24/23 08:00:00 AM,8.182,,,
193,09/24/23 09:00:00 AM,11.528,,,
194,09/24/23 10:00:00 AM,13.654,,,
195,09/24/23 11:00:00 AM,16.237,,,
196,09/24/23 12:00:00 PM,20.424,,,
197,09/24/23 01:00:00 PM,36.295,,,
198,09/24/23 02:00:00 PM,36.837,,,
199,09/24/23 03:00:00 PM,37.494,,,
200,09/24/23 04:00:00 PM,37.165,,,
201,09/24/23 05:00:00 PM,29.252,,,
202,09/24/23 06:00:00 PM,20.805,,,
203,09/24/23 07:00:00 PM,15.187,,,
204,09/24/23 08:00:00 PM,15.378,,,
205,09/24/23 09:00:00 PM,15.091,,,
206,09/24/23 10:00:00 PM,15.569,,,
207,09/24/23 11:00:00 PM,15.091,,,
208,09/25/23 12:00:00 AM,14.517,,,
209,09/25/23 01:00:00 AM,14.134,,,
210,09/25/23 02:00:00 AM,14.230,,,
211,09/25/23 03:00:00 AM,9.965,,,
212,09/25/23 04:00:00 AM,9.965,,,
213,09/25/23 05:00:00 AM,10.259,,,
214,09/25/23 06:00:00 AM,9.275,,,
215,09/25/23 07:00:00 AM,7.179,,,
216,09/25/23 08:00:00 AM,8.879,,,
217,09/25/23 09:00:00 AM,11.334,,,
218,09/25/23 10:00:00 AM,14.230,,,
219,09/25/23 11:00:00 AM,16.618,,,
220,09/25/23 12:00:00 PM,21.664,,,
221,09/25/23 01:00:00 PM,39.389,,,
222,09/25/23 02:00:00 PM,39.389,,,
223,09/25/23 03:00:00 PM,39.050,,,
224,09/25/23 04:00:00 PM,41.341,,,
225,09/25/23 05:00:00 PM,31.983,,,
226,09/25/23 06:00:00 PM,21.473,,,
227,09/25/23 07:00:00 PM,17.475,,,
228,09/25/23 08:00:00 PM,16.427,,,
229,09/25/23 09:00:00 PM,16.141,,,
230,09/25/23 10:00:00 PM,15.282,,,
231,09/25/23 11:00:00 PM,15.569,,,
232,09/26/23 12:00:00 AM,15.473,,,
