Plot Title: HOBO_2348,,,,,,
#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 21162348, SEN S/N: 21162348)",Coupler Attached (LGR S/N: 21162348),Host Connected (LGR S/N: 21162348),Stopped (LGR S/N: 21162348),End Of File (LGR S/N: 21162348)
2,02/10/24 03:00:00 PM,0.674,,,,
3,02/10/24 04:00:00 PM,0.893,,,,
4,02/10/24 05:00:00 PM,0.232,,,,
5,02/10/24 06:00:00 PM,-1.228,,,,
6,02/10/24 07:00:00 PM,-1.570,,,,
7,02/10/24 08:00:00 PM,-1.799,,,,
8,02/10/24 09:00:00 PM,-2.727,,,,
9,02/10/24 10:00:00 PM,-3.316,,,,
10,02/10/24 11:00:00 PM,-3.672,,,,
11,02/11/24 12:00:00 AM,-4.152,,,,
12,02/11/24 01:00:00 AM,-4.758,,,,
13,02/11/24 02:00:00 AM,-5.745,,,,
14,02/11/24 03:00:00 AM,-5.496,,,,
15,02/11/24 04:00:00 AM,-5.620,,,,
16,02/11/24 05:00:00 AM,-5.870,,,,
17,02/11/24 06:00:00 AM,-6.626,,,,
18,02/11/24 07:00:00 AM,-6.754,,,,
19,02/11/24 08:00:00 AM,-7.267,,,,
20,02/11/24 09:00:00 AM,-6.373,,,,
21,02/11/24 10:00:00 AM,-3.553,,,,
22,02/11/24 11:00:00 AM,-2.261,,,,
23,02/11/24 12:00:00 PM,1.980,,,,
24,02/11/24 01:00:00 PM,2.517,,,,
25,02/11/24 02:00:00 PM,0.232,,,,
26,02/11/24 03:00:00 PM,0.010,,,,
27,02/11/24 04:00:00 PM,-0.102,,,,
28,02/11/24 05:00:00 PM,-0.213,,,,
29,02/11/24 06:00:00 PM,-1.914,,,,
30,02/11/24 07:00:00 PM,-2.377,,,,
31,02/11/24 08:00:00 PM,-2.610,,,,
32,02/11/24 09:00:00 PM,-2.494,,,,
33,02/11/24 10:00:00 PM,-2.727,,,,
34,02/11/24 11:00:00 PM,-3.434,,,,
35,02/12/24 12:00:00 AM,-4.152,,,,
36,02/12/24 01:00:00 AM,-4.393,,,,
37,02/12/24 02:00:00 AM,-4.272,,,,
38,02/12/24 03:00:00 AM,-4.514,,,,
39,02/12/24 04:00:00 AM,-4.636,,,,
40,02/12/24 05:00:00 AM,-3.792,,,,
41,02/12/24 06:00:00 AM,-3.434,,,,
42,02/12/24 07:00:00 AM,-4.880,,,,
43,02/12/24 08:00:00 AM,-5.745,,,,
44,02/12/24 09:00:00 AM,-4.031,,,,
45,02/12/24 10:00:00 AM,-1.684,,,,
46,02/12/24 11:00:00 AM,0.010,,,,
47,02/12/24 12:00:00 PM,3.261,,,,
48,02/12/24 01:00:00 PM,4.934,,,,
49,02/12/24 02:00:00 PM,2.517,,,,
50,02/12/24 03:00:00 PM,2.517,,,,
51,02/12/24 04:00:00 PM,1.980,,,,
52,02/12/24 05:00:00 PM,1.656,,,,
53,02/12/24 06:00:00 PM,0.232,,,,
54,02/12/24 07:00:00 PM,-1.114,,,,
55,02/12/24 08:00:00 PM,-1.799,,,,
56,02/12/24 09:00:00 PM,-2.030,,,,
57,02/12/24 10:00:00 PM,-1.914,,,,
58,02/12/24 11:00:00 PM,-2.610,,,,
59,02/13/24 12:00:00 AM,-2.610,,,,
60,02/13/24 01:00:00 AM,-2.844,,,,
61,02/13/24 02:00:00 AM,-2.727,,,,
62,02/13/24 03:00:00 AM,-2.962,,,,
63,02/13/24 04:00:00 AM,-2.962,,,,
64,02/13/24 05:00:00 AM,-2.727,,,,
65,02/13/24 06:00:00 AM,-2.962,,,,
66,02/13/24 07:00:00 AM,-2.962,,,,
67,02/13/24 08:00:00 AM,-3.911,,,,
68,02/13/24 09:00:00 AM,-2.962,,,,
69,02/13/24 10:00:00 AM,-0.662,,,,
70,02/13/24 11:00:00 AM,1.980,,,,
71,02/13/24 12:00:00 PM,3.683,,,,
72,02/13/24 01:00:00 PM,5.552,,,,
73,02/13/24 02:00:00 PM,5.037,,,,
74,02/13/24 03:00:00 PM,5.037,,,,
75,02/13/24 04:00:00 PM,4.415,,,,
76,02/13/24 05:00:00 PM,3.578,,,,
77,02/13/24 06:00:00 PM,1.221,,,,
78,02/13/24 07:00:00 PM,0.232,,,,
79,02/13/24 08:00:00 PM,0.121,,,,
80,02/13/24 09:00:00 PM,-0.102,,,,
81,02/13/24 10:00:00 PM,-0.662,,,,
82,02/13/24 11:00:00 PM,-0.325,,,,
83,02/14/24 12:00:00 AM,-0.213,,,,
84,02/14/24 01:00:00 AM,0.343,,,,
85,02/14/24 02:00:00 AM,0.893,,,,
86,02/14/24 03:00:00 AM,0.784,,,,
87,02/14/24 04:00:00 AM,1.003,,,,
88,02/14/24 05:00:00 AM,0.343,,,,
89,02/14/24 06:00:00 AM,0.121,,,,
90,02/14/24 07:00:00 AM,0.563,,,,
91,02/14/24 08:00:00 AM,-0.102,,,,
92,02/14/24 09:00:00 AM,-0.774,,,,
93,02/14/24 10:00:00 AM,2.943,,,,
94,02/14/24 11:00:00 AM,4.519,,,,
95,02/14/24 12:00:00 PM,4.623,,,,
96,02/14/24 01:00:00 PM,8.779,,,,
97,02/14/24 02:00:00 PM,6.064,,,,
98,02/14/24 03:00:00 PM,6.978,,,,
99,02/14/24 04:00:00 PM,6.573,,,,
100,02/14/24 05:00:00 PM,5.860,,,,
101,02/14/24 06:00:00 PM,5.244,,,,
102,02/14/24 07:00:00 PM,2.837,,,,
103,02/14/24 08:00:00 PM,3.367,,,,
104,02/14/24 09:00:00 PM,3.683,,,,
105,02/14/24 10:00:00 PM,2.943,,,,
106,02/14/24 11:00:00 PM,3.261,,,,
107,02/15/24 12:00:00 AM,2.837,,,,
108,02/15/24 01:00:00 AM,2.517,,,,
109,02/15/24 02:00:00 AM,2.517,,,,
110,02/15/24 03:00:00 AM,0.893,,,,
111,02/15/24 04:00:00 AM,2.730,,,,
112,02/15/24 05:00:00 AM,3.998,,,,
113,02/15/24 06:00:00 AM,3.893,,,,
114,02/15/24 07:00:00 AM,3.472,,,,
115,02/15/24 08:00:00 AM,3.367,,,,
116,02/15/24 09:00:00 AM,2.943,,,,
117,02/15/24 10:00:00 AM,3.683,,,,
118,02/15/24 11:00:00 AM,5.757,,,,
119,02/15/24 12:00:00 PM,7.481,,,,
120,02/15/24 01:00:00 PM,5.450,,,,
121,02/15/24 02:00:00 PM,4.102,,,,
122,02/15/24 03:00:00 PM,5.962,,,,
123,02/15/24 04:00:00 PM,6.370,,,,
124,02/15/24 05:00:00 PM,6.674,,,,
125,02/15/24 06:00:00 PM,5.757,,,,
126,02/15/24 07:00:00 PM,4.102,,,,
127,02/15/24 08:00:00 PM,2.837,,,,
128,02/15/24 09:00:00 PM,3.049,,,,
129,02/15/24 10:00:00 PM,2.730,,,,
130,02/15/24 11:00:00 PM,3.049,,,,
131,02/16/24 12:00:00 AM,3.049,,,,
132,02/16/24 01:00:00 AM,2.517,,,,
133,02/16/24 02:00:00 AM,1.548,,,,
134,02/16/24 03:00:00 AM,1.330,,,,
135,02/16/24 04:00:00 AM,0.893,,,,
136,02/16/24 05:00:00 AM,1.003,,,,
137,02/16/24 06:00:00 AM,1.330,,,,
138,02/16/24 07:00:00 AM,1.439,,,,
139,02/16/24 08:00:00 AM,1.003,,,,
140,02/16/24 09:00:00 AM,1.439,,,,
141,02/16/24 10:00:00 AM,3.049,,,,
142,02/16/24 11:00:00 AM,4.934,,,,
143,02/16/24 12:00:00 PM,5.860,,,,
144,02/16/24 01:00:00 PM,5.552,,,,
145,02/16/24 02:00:00 PM,6.268,,,,
146,02/16/24 03:00:00 PM,6.877,,,,
147,02/16/24 04:00:00 PM,6.775,,,,
148,02/16/24 05:00:00 PM,6.064,,,,
149,02/16/24 06:00:00 PM,5.141,,,,
150,02/16/24 07:00:00 PM,4.311,,,,
151,02/16/24 08:00:00 PM,4.102,,,,
152,02/16/24 09:00:00 PM,3.893,,,,
153,02/16/24 10:00:00 PM,3.472,,,,
154,02/16/24 11:00:00 PM,3.049,,,,
155,02/17/24 12:00:00 AM,1.112,,,,
156,02/17/24 01:00:00 AM,-2.030,,,,
157,02/17/24 02:00:00 AM,-2.261,,,,
158,02/17/24 03:00:00 AM,-2.494,,,,
159,02/17/24 04:00:00 AM,-2.844,,,,
160,02/17/24 05:00:00 AM,-4.758,,,,
161,02/17/24 06:00:00 AM,-6.246,,,,
162,02/17/24 07:00:00 AM,-5.995,,,,
163,02/17/24 08:00:00 AM,-6.882,,,,
164,02/17/24 09:00:00 AM,-5.745,,,,
165,02/17/24 10:00:00 AM,-3.079,,,,
166,02/17/24 11:00:00 AM,-1.570,,,,
167,02/17/24 12:00:00 PM,-0.437,,,,
168,02/17/24 01:00:00 PM,3.578,,,,
169,02/17/24 02:00:00 PM,1.003,,,,
170,02/17/24 03:00:00 PM,0.893,,,,
171,02/17/24 04:00:00 PM,1.330,,,,
172,02/17/24 05:00:00 PM,1.221,,,,
173,02/17/24 06:00:00 PM,-1.799,,,,
